,id,name,brewery_type,city,postal_code,country,longitude,latitude,phone,website_url,state,street
720,a30cdbff-d7d7-48b2-8aa1-90a25758ad02,bdd brewing company,micro,rocky mount,27804,united states,-77.80208267,35.958026,9196327551,,north carolina,1147 falls rd ste 107
721,ad77c6d8-4801-47a3-b9a2-28cb708ba512,beach cat brewing,micro,blaine,98230,united states,-122.7447863,48.92831088,3603668065,https://beachcatbrewing.com,washington,7876 birch bay dr #101
722,0585bea4-0b4b-4933-9770-df4c124618c7,beach chalet brewing co,brewpub,san francisco,94121-3268,united states,-122.502981,37.7252994,4153868439,http://www.beachchalet.com,california,1000 great hwy
723,2ba06f5f-f88d-472c-a281-cea7f32c7d36,beach grease beer company,micro,vista,92081,united states,-117.219665,33.14225042,,http://www.beachgreasebeerco.com,california,1280 activity dr ste b
724,864c6024-1ead-484f-9a4c-71572c000060,beach haus brewery,micro,belmar,07719-2705,united states,-74.0251959,40.1812131,7322027782,http://www.beachhausbeer.com,new jersey,801 main st
726,4f5f6278-99db-45cf-9ed3-72744cd475d4,beachside brew pub,micro,ormond beach,32176-3630,united states,-81.057048,29.326634,3868465143,http://www.beachsidebrewpub.com,florida,1368 ocean shore blvd
727,dfefae25-ded6-4109-b6ed-e494a393dc07,beachwood bbq & brewing,brewpub,long beach,90802-3197,united states,-118.1909007,33.77017138,5624364020,http://www.beachwoodbbq.com,california,210 e 3rd st ste a
728,8a7df4b6-5ea6-4ca2-bb72-8b9813cb1e62,beachwood blendery,micro,long beach,90802-3136,united states,-118.1894715,33.77015096,,http://beachwoodbbq.com/blendery.html,california,247 long beach blvd
729,67b706ab-6f63-4178-a09c-fdd2119b6b32,beachwood brewing,micro,huntington beach,92647-7117,united states,-117.9953281,33.70446704,5103269575,http://www.beachwoodbbq.com,california,7631 woodwind dr ste b
731,797a05a9-52b7-4d53-b0fe-f89237eaffc5,beale's,brewpub,bedford,24523,united states,-79.51785,37.33585,,http://www.bealesbeer.com,virginia,510 grove st
733,5703ac6f-9a97-4529-b62e-7034433e0636,bear and bramble brewing company,micro,easthampton,01027-2207,united states,,,,,massachusetts,10 payson ave # 1
734,70141f89-287c-496b-8379-bdef1a8f4d0d,bear bones beer,micro,bridgton,04009-1137,united states,,,2076478000,,maine,2 cottage st ste 1
735,25a5fef8-192f-4cd3-95b2-9d0a903354f5,bear bones beer,micro,lewiston,04240-7115,united states,-70.09605519,44.02012732,2072001324,http://www.bearbonesbeer.com,maine,43 lisbon st
737,c682b36a-29b9-429f-b109-e75251bb6cd8,bear creek brews,micro,bear creek,27207-9269,united states,,,9192003930,http://www.bearcreekbrews.com,north carolina,10538 nc 902 hwy
738,7ce869c5-a47a-4bab-ac9f-775ee05a0a2e,bear island brewing company,micro,boise,83704-7739,united states,-116.260854,43.620592,2089082496,http://www.bearislandbrewing.com,idaho,1620 n liberty st
739,c316f64a-b4d1-40f5-a5b3-65cc2498cbc5,bear republic brewing co,regional,healdsburg,95448-4105,united states,-122.8713046,38.6110317,7074332337,http://www.bearrepublic.com,california,345 healdsburg ave
740,13209af8-ee4b-40f6-8396-17ecb6ff09ff,bear republic brewing co - production facility,regional,cloverdale,95425-4439,united states,-123.0108285,38.78169817,7078942722,http://www.bearrepublic.com,california,110 sandholm ln ste 10
741,9d17cc50-aa5b-41a1-9aa7-2ae4dd82e743,bear republic brewing co pub & restaurant - lakeside,brewpub,rohnert park,94928,united states,-122.7101405,38.3649703,7075852722,http://bearrepublic.com,california,5000 roberts lake rd
742,05d9957f-92a7-4616-baeb-9f85fa170f22,bear roots brewing company,micro,vista,92083-7230,united states,-117.226238,33.188251,7607264204,http://www.bearrootsbrewing.com,california,1213 s santa fe ave
743,a24f319e-eb59-4658-b104-3437dbb34068,beara brewing co.,micro,portsmouth,03801-5915,united states,-70.790732,43.027935,3475780585,http://www.bearairishbrew.com,new hampshire,2800 lafayette rd
744,cfd1342e-ac6e-4c57-9d5c-c120c6d7468b,beard engine brewing co,micro,alba,64830,united states,-94.418276,37.248046,4174830709,,missouri,208 main st
745,3a8c6632-e9df-4d42-9adb-a2cb5c6863c8,bearded fox brewing co.,micro,tomball,77377-6063,united states,,,8327617928,http://www.beardedfoxbrewing.com,texas,11729 spring cypress rd ste r
746,667547fa-dcf1-4b05-9f59-53c6c7a24847,bearded iris brewing,micro,nashville,37208-1719,united states,-86.786174,36.181424,6159287988,http://www.beardedirisbrewing.com,tennessee,101 van buren st
747,6bece4ab-f1f5-487e-a326-150ee9487d0b,bearded owl brewing,brewpub,peoria,61602-5121,united states,,,3093601980,,illinois,112 state st ste 1a
748,b4e2e758-52bb-4745-b36a-6732aae2a4c2,beards brewery,brewpub,petoskey,49770-2415,united states,-84.95425838,45.37533801,2317532221,http://www.beardsbrewery.com,michigan,215 e lake st
749,882b9abc-a864-42f2-9cc3-f35286b0aaec,beards brewery production facility,micro,charlevoix,49720-9504,united states,-85.249116,45.304738,,,michigan,6328 ferry ave
750,9ba20e75-2968-42ad-b08d-8241c134deeb,beardslee public house,brewpub,bothell,98011-0202,united states,-122.1914046,47.7663209,4252861001,https://beardsleeph.com,washington,19116 beardslee blvd ste 201
751,b534a072-f086-416b-bfce-3efdcba1784b,bearpaw river brewing co,micro,wasilla,99654-7679,united states,-149.4127103,61.5752695,,http://bearpawriverbrewing.com,alaska,4605 e palmer wasilla hwy
752,ff07eef9-fd76-4909-9f8b-e3d690dab516,community beer co,regional,dallas,75207-3703,united states,-96.81658792,32.79177896,,,texas,1530 inspiration dr # 200
753,a2a4f05a-7e2d-4b7c-a22f-45f90db7d334,bearwaters brewing co,brewpub,canton,28716-4319,united states,-82.843001,35.53137,8282734200,http://www.bwbrewing.com,north carolina,101 park st
754,713bb4bb-a85b-490f-aae2-9d08fcdc094f,beaver beer co,contract,westport,06880-6227,united states,-73.311685,41.12587,,http://www.beaverbeer.com,connecticut,307 greens farms rd
755,571e446c-b17d-40ba-98b1-a60daa9bb961,beaver brewery at mo's place,brewpub,beaver,67525-9231,united states,-98.667933,38.639049,6205872350,http://www.mosbrewpub.com,kansas,1908 elm st
756,c0b53d0f-5c81-435b-920d-a193e02e1b73,beaver brewing co,brewpub,beaver falls,15010-4001,united states,-80.3192793,40.7650557,,http://www.beaverbrewingcompany.com,pennsylvania,1820 7th ave
757,ef663619-6faa-4478-b754-c54f6f5cc823,beaver creek brewery,micro,wibaux,59353-8001,united states,,,4067952337,http://www.beavercreekbrewery.com,montana,104 w oregon ave
758,2ca3add8-8d9b-4195-a269-5cc0d4afcc07,beaver island brewing company,micro,saint cloud,56301-4304,united states,-94.15733312,45.5585455,3202535907,http://www.beaverislandbrew.com,minnesota,216 6th ave s
759,92089237-a5bc-40cc-b7c8-b666f1db822a,beaver street brewery,brewpub,flagstaff,86001-5500,united states,,,9287790079,http://www.beaverstreetbrewery.com,arizona,11 s beaver st ste 1
760,4fc62fdf-21cf-4b30-9f08-f40ee4ffac46,beaverhead brewing co,micro,dillon,59725-2438,united states,-112.6396875,45.21575351,4069880011,http://www.beaverheadbeer.com,montana,218 s montana st
761,40b45277-e99b-4068-894b-b4fb9fbf987f,beavers bend brewery,micro,broken bow,74728-6765,united states,-94.7595504,34.1658072,5804943455,http://www.beaversbendbrewery.com,oklahoma,46 coho rd
763,047d4126-a132-4123-8e9a-aba351f31031,bedlam brewing llc,brewpub,staunton,24401-2597,united states,-79.05582568,38.16800319,5402211305,http://www.facebook.com/bedlam-brewing-536957559822021,virginia,2303 n augusta st
764,53d076da-4ee2-491f-9513-f2bee77c3688,bee's knees ale house,brewpub,versailles,65084,united states,-92.835774,38.479374,5735392525,,missouri,106 w jasper st
765,4e43ccbc-bc47-405d-a48b-1d928c5ca462,beech mountain brewing company,micro,beech mountain,28604-8018,united states,-81.873356,36.16819584,8283872011,http://www.beechmountainresort.com,north carolina,1007 beech mountain pkwy
766,a0adf1e8-ce6a-4c06-a605-434032d6fa18,beehive basin brewery,micro,big sky,59716,united states,-111.3037009,45.259632,4069957444,http://www.beehivebasinbrewery.com,montana,245 town center ave
768,d5fd0450-160c-444f-a9b3-e027aed21cf4,beer by design brewery,contract,thornton,80233-2533,united states,-104.9417886,39.9285623,3035172202,http://www.beerbydesign.com,colorado,11490 jackson st
769,4d71267a-d27f-4322-afc6-403e860fc107,beer church brewing company,contract,new buffalo,49117-1820,united states,-86.74311848,41.79322148,2192413876,http://www.beerchurchbrewing.com,michigan,24 s whittaker st
770,d137a8cd-c65a-42c7-b537-b6e98b46c7af,beer engine,micro,danville,40422-1674,united states,-84.771328,37.6481,5024035680,http://www.kybeerengine.com,kentucky,107 larrimore ln
771,ccad31bf-f381-4f58-a204-993f59e3029f,beer hound brewery,contract,culpeper,22701-3102,united states,,,5403175327,,virginia,201 waters pl apt 102
772,1bfba23f-2815-4f28-9d5d-37bca2306903,beer is good brewing company,micro,norman,73069,united states,-97.4411294,35.2216069,4058577080,http://bigbrew.co,oklahoma,216 e main
773,bf244193-89cd-4321-906c-abda26f7199d,beer lab hi,micro,honolulu,96826-1537,united states,-157.8218784,21.29214406,8088880913,http://www.beerlabhi.com,hawaii,1010 university ave ste b1
775,3c2c022b-b5c3-438e-b7fc-67b76b715f86,beer naked brewery,brewpub,marlboro,05344,united states,,,8024647702,http://www.beernakedbrewery.com,vermont,7678 vt-rte 9
776,a8a27ab9-3403-4fa9-a852-ceb6fe938af4,beer on earth,micro,providence,02903,united states,-71.4238514,41.8189698,4018850580,http://www.beeronearth.com,rhode island,425 w fountain st #104
778,2d71ef89-cdf4-4e5a-b862-14aca5e47c93,"beer research institute, the",brewpub,mesa,85204,united states,,,4808922020,http://www.bri.beer,arizona,1641 s stateley dr ste 104
779,36e42b14-6bb0-4bba-b9d4-662def2778a6,beer tree brew co,micro,port crane,13833,united states,,,,http://www.beertreebrew.com,new york,197 rte 369
780,b2acd8dd-3606-4794-bddb-db8e476f5ef2,beer valley brewing co,micro,ontario,97914-4473,united states,-116.9539806,44.01504307,5418819088,http://www.beervalleybrewing.com,oregon,937 se 12th ave
781,cbce47ad-2da8-4de9-806f-9c8e3fb39f76,beerded brothers brewing,closed,vancouver,98660,united states,-122.6718911,45.62576802,3606065806,http://www.beerdedbrothers.net,washington,106 w 6th st
782,09c40072-dae9-445b-a8e5-574ac4c9371a,beerfoot beach bar,micro,galveston,77550-7742,united states,,,4097622337,http://www.yagaspresents.com/beerfoot/index.html,texas,2816 avenue r 1/2
783,01883283-4a13-4857-9aad-e06298863ff3,begyle brewing,micro,chicago,60613-3892,united states,,,7736616963,http://www.begylebrewing.com,illinois,1800 w cuyler ave ste 1e
784,8617a78e-e352-479d-adfd-8c1cb2aef36a,belching beaver brewery,regional,oceanside,92056-5864,united states,-117.292416,33.2139275,7607321415,,california,1334 rocky point dr
785,a349e5e8-16d6-47e1-8c62-4403a2709927,belching beaver brewery tavern & grill,brewpub,vista,92084-6020,united states,-117.241029,33.2021182,7605995832,,california,302 e broadway
786,93cacbb3-3e6b-47a9-a446-43ad639e6762,belching beaver brewery vista,micro,vista,92081-8351,united states,-117.2410328,33.20215305,7605995832,http://www.belchingbeaver.com,california,980 park center dr ste a
788,ebb8c392-eddb-44c8-9561-44f9186b8518,belfast bay brewing co,contract,belfast,04915-7221,united states,-68.9880177,44.4309432,2074608654,http://www.belfastbaybrewing.com,maine,100 searsport ave
789,20ebe2cc-2803-4085-aada-cc38ea1a1f74,belford brewing company,micro,belford,07718-1144,united states,,,7327697168,http://www.belfordbrewing.com,new jersey,84 leonardville rd
790,43fd7230-116c-4c72-a9d3-5bd96411c362,belgian mare brewery,micro,alstead,03602-3915,united states,-72.28542213,43.10984838,6038357801,http://www.belgianmare.com,new hampshire,207 gilsum mine rd
791,753c642c-4239-427f-a7e1-7c8d2d4f28e3,"bell's brewery, inc",regional,galesburg,49053-9558,united states,,,2693822338,http://www.bellsbeer.com,michigan,8938 krum ave
792,ddb10d3b-41f8-4a89-a91a-5e751230f8ec,bell's eccentric cafe,brewpub,kalamazoo,49007-3807,united states,-85.57887292,42.29491555,2693822332,http://www.bellsbeer.com,michigan,355 e kalamazoo ave
793,767cf890-0184-4c32-afd8-0260ce1a0f0b,bella casa di vino,brewpub,saint clair,48079-5491,united states,-82.48591,42.823895,8103261212,http://www.suescoffeehouse.com,michigan,201 n riverside ave
794,5ce26e95-3deb-4b79-be7d-3d7962abc3f3,belle isle restaurant and brewing co,brewpub,oklahoma city,73118-1832,united states,-97.545912,35.522258,4058401911,http://www.belleislerestaurant.com,oklahoma,1900 nw expressway ste 44
795,262a1ab1-6ea6-445e-bd22-5d56d3877287,bellefonte brewing co,micro,wilmington,19808-6043,united states,,,3025401055,http://www.bellefontebrewingco.com,delaware,3605 old capitol trl unit c7/c8
796,098131e3-d4fb-4b66-b969-525867ea43e8,bellevue brewing co,brewpub,bellevue,98005-2205,united states,-122.1669306,47.62658069,4257850171,http://www.bellevuebrewing.com,washington,1820 130th ave ne # 2
798,6c1b68ee-5a2c-4572-9412-aa97f5c174f6,belltown brewery,closed,seattle,98121-1716,united states,-122.3456669,47.6142953,2064857233,http://www.belltownbrewingseattle.com,washington,200 bell st
799,7258dd32-e31a-42a1-ad47-68b29e59bfef,bellwether brewing co,micro,spokane,99205-4542,united states,-117.4265497,47.67645574,5092808345,http://www.bellwetherbrewing.net,washington,2019 n monroe st
800,3a6fa1f2-5baa-48b0-ab62-17580ee59c80,belly love brewing company,brewpub,purcellville,20132-3178,united states,-77.7015903,39.1364247,5404413159,http://www.bellylovebrewing.com,virginia,725 e main st
802,b5c1920a-6015-4f9e-9ba6-58e654fe2138,belmont brewing co,brewpub,long beach,90803-2806,united states,-118.1480454,33.759551,5624333891,http://www.belmontbrewing.com,california,25 39th pl
803,0825c760-b25e-4d4d-ac6f-67498bffe8f6,below the radar brewing co,brewpub,huntsville,35801-4837,united states,-86.58583931,34.73272365,2564696617,http://www.btrbrew.com,alabama,220 holmes ave ne
804,3e8bc011-fde9-480c-aed4-b1aa9a99fa57,beltway brewing company,micro,sterling,20164-4470,united states,-77.4172876,38.9914289,5719892739,http://www.beltwaybrewco.com,virginia,22620 davis dr ste 110
805,e99c9fda-b861-4dc4-99bb-58b685654f4f,bemidji brewing company,brewpub,bemidji,56601-3176,united states,-94.88482747,47.4699022,2184447011,http://www.bemidjibeer.com,minnesota,211 america ave nw
806,80fb35c8-eef8-49f7-8d97-ed0a432d52c3,ben's brewing station,micro,yankton,57078-3542,united states,-97.39428007,42.8771861,6056619090,http://www.bensbrewing.shop,south dakota,719 walnut street
807,db8a8a89-3084-4632-8215-36c9446426b5,ben's tune-up / ben's beer,brewpub,asheville,28801-3616,united states,-82.5557931,35.5912756,8284247580,http://www.benstuneup.com,north carolina,195 hilliard ave
808,ef1075c7-0384-4bfe-8034-2ba2e99a5a0c,benchmark brewing co,closed,san diego,92120-3428,united states,-117.1020694,32.78737066,6197952911,http://www.benchmarkbrewing.com,california,6190 fairmount ave ste g
809,b644eedc-dda5-49a4-b05f-8baed4791d41,benchtop brewing company,micro,norfolk,23507-1401,united states,-76.30742245,36.86493389,7573219482,http://www.benchtopbrewing.com,virginia,1129 boissevain ave
810,66d441d7-df24-4f32-83be-9a80d9d63951,bend brewing co,brewpub,bend,97703-2018,united states,-121.3139312,44.06051115,5413831599,http://www.bendbrewingco.com,oregon,1019 nw brooks st
811,58d75aca-9aef-48d1-b81a-0d085c4f4da5,bend brewing high desert,closed,bend,97701,united states,-121.2914842,44.08727607,5413831599,,oregon,20650 ne high desert lane
812,2740427b-cb76-4b45-bb8d-364e82541041,benford brewing co.,micro,lancaster,29720-9443,united states,,,,,south carolina,2271 boxcar rd
814,903f91f9-2c57-4909-87f7-fa268e44d454,benjamin beer co,closed,racine,53403-1117,united states,-87.78630172,42.72641512,2625832034,http://www.benjaminbeer.com,wisconsin,507 6th st
815,74266e58-c60c-4eed-bb2a-e582ac87c18c,bennidito's brewpub,brewpub,spokane,99202-3120,united states,-117.2178526,47.6571208,5092905018,http://www.benniditosbrewpub.com,washington,1909 e sprague ave
816,709f000d-826d-45e8-ab4f-c89137a58790,benny brewing co.,micro,wilkes barre,18706-6025,united states,,,5702356995,http://www.martysblueroom.com,pennsylvania,1429 sans souci pkwy
817,d19a5bc3-75b2-4119-b18d-fec643a1a3bc,benoit-casper brewing,micro,richmond,94801-2300,united states,-122.3578637,37.94244029,4086953449,http://www.bcbrewing.com,california,1201 pennsylvania ave ste e
818,c74f06ec-3978-451b-88b4-92d813b11903,benson brewery,brewpub,omaha,68104-4050,united states,-96.00634511,41.28489756,4029348668,http://www.bensonbrewery.com,nebraska,6059 maple st
819,d246dbd2-5991-48f5-9e47-3bca8b6027f0,bent bine brew co. llc,brewpub,belfair,98394,united states,-122.83223,47.445115,8142739379,http://www.bentbine.com,washington,23297 wa-3
820,449a1e99-45aa-40d0-a3a8-d825919641d6,bent brewstillery,micro,roseville,55113-1315,united states,-93.17364906,45.02557829,8448792368,http://www.bentbrewstillery.com,minnesota,1744 terrace dr
821,f4431225-2c10-4479-9ece-0090a958c1c1,bent hill brewery,micro,randolph,05060-8833,united states,,,8022491125,http://www.benthilbrewery.com,vermont,1972 bent hill rd
822,bdd49c54-8f0c-4e5f-8757-802bed30d8c9,bent kettle brewing company,closed,fort atkinson,53538-3102,united states,-88.861232,42.9348495,9203909038,http://www.bentkettle.com,wisconsin,1507 montclair pl
823,8b43bd7c-41f0-4865-a9cf-0d82a7b53dcb,bent paddle brewing co,regional,duluth,55806-2135,united states,-92.1219171,46.7676912,2182792722,http://www.bentpaddlebrewing.com,minnesota,1912 w michigan st
824,457f03ac-e315-4d9a-9a66-f091e90698da,bent river brewing co,brewpub,moline,61265-1335,united states,-90.51736337,41.50590516,3097972722,http://www.bentriverbrewing.com,illinois,1413 5th ave
825,5e6cbfb1-f958-47d5-9a19-d8a639216888,bent river brewing co,brewpub,burlington,52601,united states,-91.1052085,40.8106128,3192092773,http://www.burlingtonbentriver.com,iowa,500 jefferson st
826,c542eae9-6b85-4583-84c4-cba24c0cd68c,bent river brewing co production & tasting room,micro,rock island,61201-8928,united states,-90.5669283,41.5076339,3092834811,http://www.bentriverbrewery.com,illinois,512 24th st
827,eeabc125-dc98-49cf-a9da-969ee820c348,bent run brewing co,brewpub,lander,16345,united states,,,8147578269,http://www.bentrunbrewing.com,pennsylvania,5607 sr 957
828,2daabc96-c1c4-4bbc-a784-a0720a5c96c3,bent shovel brewing,micro,oregon city,97045-9453,united states,-122.421183,45.37878928,5038980220,http://www.bentshovelbrewing.com,oregon,21678 s latourette rd
829,ec45b763-05a4-490d-8a78-956939c38c6e,bent shovel brewing,micro,oregon city,97023,united states,-122.3922913,45.31388797,5038980220,http://www.bentshovelbrewing.com,oregon,20179 s springwater rd
830,05d4fc7f-58bc-4cc0-b5f8-c6829b0f6d86,bent water brewing company,micro,lynn,01905-3058,united states,,,,http://www.bentwaterbrewing.com,massachusetts,180 commercial st ste 18
831,247d83f9-7df3-4842-afd7-4104946fb455,bentonville brewing co,micro,rogers,72756-5923,united states,-94.1178372,36.3168272,4799037330,http://www.bentonvillebrewing.com,arkansas,1700 s 1st st
832,97ad3cff-f0ad-4ba3-94cd-f150d79c788d,berchman's brewing company,closed,yakima,98901-2648,united states,,,5099521058,http://berchmansbrewingcompany.com,washington,25 n front st ste 2
833,dcf991c9-6692-4346-a52a-b6e9ff25520e,berkeley springs brewing co,brewpub,berkeley springs,25411-3008,united states,-78.271156,39.576782,3042583369,http://www.berkeleyspringsbrewingcompany.com,west virginia,110 michigan ln
835,4dd9752b-954d-41fa-b899-c3e26aef7812,big bottom brewery,micro,dillsburg,17019-1627,united states,,,7175028800,http://www.facebook.com/bigbottombrewery,pennsylvania,6 tristan dr
836,3cbbbfeb-a69b-4cea-be92-f7ae2808a1eb,berkshire brewing co inc,regional,south deerfield,01373-0096,united states,-72.61025086,42.47779797,4136656600,http://www.berkshire-brewing.com,massachusetts,12 railroad st
837,41962a71-dd2f-4aa8-9ec2-fd99dc0e684d,berlin brewing company,micro,berlin,08009-1902,united states,-74.92998973,39.79199228,8563362038,http://www.berlinbrewco.com,new jersey,220 s white horse pike
838,6540698e-cf27-41e2-8175-c810b172160e,berryessa brewing co,micro,winters,95694-9066,united states,-122.0032197,38.51383288,5303042202,http://www.berryessabrewingco.com,california,27260 state highway 128
839,9e7c32bd-ac46-4e84-bfec-20a3be839c8e,berthoud brewing company,micro,berthoud,80513,united states,,,9705329850,http://www.berthoudbrewing.com,colorado,450 s 8th st unit b
840,c495b454-6bbb-4f13-adb9-05d88e03136a,bertrams salmon valley brewery,brewpub,salmon,83467-4246,united states,-113.8932079,45.1751978,2087563391,http://salmonvalleybrewery.com,idaho,535 main st
842,8b33dd81-0c75-4be9-90c0-72d5ed79f436,berwick brewing co,brewpub,berwick,18603-4757,united states,-76.2381632,41.05243327,5707524313,http://www.berwickbrewing.com,pennsylvania,328 w front st
843,b635b07f-9dba-4619-ac00-f17ca8313c43,bespoke brewing company,brewpub,ronks,17572,united states,,,7172882255,https://www.bespokebrewingco.com,pennsylvania,242 gap rd
844,6f148564-9296-4d6c-ac6b-44bad3765fd2,best of hands barrelhouse,micro,seattle,98126,united states,-122.3763875,47.53628883,2067081166,https://www.bestofhandsbarrelhouse.com,washington,7500 35th ave sw
846,8dcd6f88-53ee-4962-8558-bdaadade0da8,better half brewing,closed,bristol,06010,united states,,,8602617062,https://www.betterhalfbrewing.com/,connecticut,59 north main st
848,957afb07-a6ff-4ba3-9288-820bf0e7b107,bewilder brewing co,brewpub,salt lake city,84101-2202,united states,-111.9017072,40.7594039,3855283840,https://bewilderbrewing.com,utah,445 s 400 w
849,01e79aac-e955-4846-826e-1936e03bfd13,beyond the mountain brewing company,micro,boulder,80301-3203,united states,,,7574072346,http://www.btmbrewing.com,colorado,6035 longbow dr unit 109
850,e5fc6a44-a2f0-4c19-82a7-cb160e3a7a86,bhramari brewhouse,micro,asheville,28801-3309,united states,-82.55191879,35.59166763,8282147981,http://www.bhramaribrewing.com,north carolina,101 s lexington ave
851,e29bb9cb-e459-4aab-b24d-390bc235f4b7,bias brewing,micro,kalispell,59901,united states,,,4067303020,http://www.biasbrewing.com,montana,409 1st ave e ste b
852,0f7cb775-114f-4c6f-ad6b-4a3552568d91,bickerson's brewhouse,micro,renton,98059,united states,-122.1555405,47.48904979,4254422347,https://www.bickersonsbrewhouse.com,washington,4710 ne 4th st #c105
853,11737bcc-a377-45ea-a0fd-8e2295429015,bier brewery and taproom,micro,indianapolis,46220-4816,united states,,,3176960200,http://www.bierbrewery.com,indiana,5133 e 65th st
854,6b5ae555-89e4-4363-baac-a21e3e93a5d1,bier distillery,micro,comstock park,49321-8030,united states,,,6168889746,http://bierdistillery.com,michigan,5295 west river dr ne ste 100
855,c6f9f271-cdbd-4342-b2dd-8399a3cd6670,bier one brewing,brewpub,newport,97365-4930,united states,-124.0572864,44.6330765,5412654630,http://www.bier-one.com,oregon,424 sw coast hwy
856,4af8972b-a42f-43c7-a871-c28ba96f378a,biercamp,brewpub,ann arbor,48104-4302,united states,-83.740111,42.2586786,7349952437,http://www.bier-camp.com,michigan,1643 s state st
858,71ed116d-2a0c-405f-9595-66b00f37030d,biere de mac brew works,micro,mackinaw city,49701-8622,united states,,,2314277007,http://www.bieredemac.com,michigan,14277 n mackinaw hwy
859,a7ea14a8-dc7d-4cd5-8314-7632451807fe,bierly brewing @ eats and treats,brewpub,philomath,97370-9237,united states,-123.3625416,44.539936,5412575126,,oregon,1644 main st
860,c3d41248-80ed-4c14-8078-c100308e5450,bierstadt lagerhaus,brewpub,denver,80205-2210,united states,-104.9838084,39.7630094,7205707824,http://www.bierstadtlager.com,colorado,2875 blake st
861,58bbeef3-65a9-4cdf-b2f3-0acb2c53f1f8,bierwerks,brewpub,woodland park,80863,united states,-105.0519462,38.9941414,7196868100,http://www.bierwerks.com,colorado,121 e. midland ave
862,6baafd1a-3faf-41f6-bce8-7f9c223b2d1c,big alice brewing company,micro,long island city,11101-6820,united states,,,3476882337,http://www.bigalicebrewing.com,new york,808 43rd rd
864,03fe4348-0e01-446b-81af-dda8167284e8,big axe brewing company,brewpub,nisswa,56468-5001,united states,-94.2891095,46.5199477,2189612337,http://www.bigaxebrewing.com,minnesota,25435 main st
865,b9237ad4-42fd-43e1-a953-19fc451f9601,big barn brewing co / bodacious berries fruits and brews,micro,mead,99021-7818,united states,-117.266079,47.80652793,5097102961,http://www.bigbarnbrewing.com,washington,16004 n applewood ln
866,1dc47da7-faa4-498f-8e97-e83e74d1c79d,big beach brewing company,micro,gulf shores,36542-3104,united states,-87.683039,30.278051,2519482337,http://www.bigbeachbrewing.com,alabama,300 e 24th ave
867,1a67833a-71e7-482e-9f85-9726583aceb7,big bear brewing co,brewpub,coral springs,33071-6031,united states,-80.2505088,26.2992083,9543415545,http://www.bigbearbrewingco.com,florida,1800 n university dr
868,6ce0f40e-a10e-4dde-82a6-c51662b2fe09,big bear lake brewing co,brewpub,big bear lake,92315,united states,-116.9110287,34.2425583,9098780283,http://www.bblbc.com,california,40827 stone rd
869,08d14e79-430e-448f-a264-7bc200af83d5,big bear mountain brewery,brewpub,big bear lake,92315,united states,-116.923042,34.23876062,9098662337,http://www.mountainbrewery.com,california,40260 big bear blvd
870,1b8be5f6-7f57-4a6e-830a-3d565e2e03d7,big beaver brewing co,micro,loveland,80537-3141,united states,,,9708186064,http://www.bigbeaverbrew.com,colorado,2707 w eisenhower blvd ste 9
871,5fe8f212-8c52-4183-85ff-687307298047,big bend brewing co,micro,alpine,79830-4127,united states,,,4328373700,http://www.bigbendbrewing.com,texas,3401 w highway 90
872,d05957b0-56af-4e14-8e32-326fa3769253,big block brewing,micro,sammamish,98075,united states,-122.07474,47.57926212,4254570515,https://www.bigblockbrewery.com/sammamish-taproom,washington,3310 e lake sammamish pkwy se
873,e4631ae5-8fbe-4576-8d03-cd284bec84cd,big block brewing - redmond taproom,micro,redmond,98052,united states,-122.1410868,47.68654123,4256583644,https://www.bigblockbrewery.com/redmond-taproom,washington,14950 ne 95th st
874,b9f816db-8d71-4be2-9370-5100c2b1257a,big blue brewing,brewpub,cape coral,33904-9168,united states,-81.95242639,26.56445895,9737693294,http://www.bigbluebrewing.com,florida,4721 se 10th pl
875,5071d551-c086-4480-a57f-d2dbfcd7fbcc,big boiler brewing,brewpub,lowell,49331-1714,united states,-85.33655351,42.93462931,6169873155,http://bigboilerbrewing.com,michigan,318 e main st
876,b1813df6-ffad-4604-b909-874bfb56e41b,big boss brewing co,micro,raleigh,27604-1683,united states,,,9198340045,http://www.bigbossbrewing.com,north carolina,1249 wicker dr ste a
877,b203b9a5-a84a-461f-a64a-938adf44a7d4,big cat brewing company,brewpub,cedar,49621-8580,united states,-85.79311511,44.85319287,2312282282,http://www.bigcatbrewingco.com,michigan,8699 s good harbor trl
878,b2ad6e2c-1bdc-45df-a0bc-c8e075949e75,big choice brewing co,micro,brighton,80601-1603,united states,-104.822433,39.98642943,3034692616,http://www.bigchoicebrewing.com,colorado,21 s 1st ave
880,5db014b6-be92-4c4d-b95e-f5156550ad05,big ditch brewing company,micro,buffalo,14203-1632,united states,-78.8709352,42.888031,7168545050,http://www.bigditchbrewing.com,new york,55 e huron st
881,2c048f27-d9fc-4117-ae9a-c3c79ea2470e,big dog's brewing co,brewpub,las vegas,89130-3432,united states,,,7023683715,http://www.bigdogsbrews.com,nevada,4547 n rancho dr ste a
882,36840152-444d-4615-b422-752e0e0bf044,big draft brewing,micro,white sulphur springs,24986-3003,united states,-80.3001175,37.7945598,3049152442,https://bigdraftbrewing.com/,west virginia,697 main st e
883,0aff7bc2-29eb-4127-b80c-d5fc3e05274a,big elm brewing,micro,sheffield,01257,united states,-73.351236,42.093595,4132292348,http://www.bigelmbrewery.com,massachusetts,65 silver st
